gene	cell_type	mean
INS	beta cell	8924.787362451942
CTRB1	acinar cell	386.8747206159683
CTRB2	acinar cell	378.6083628396433
CEL	acinar cell	120.30236685116135
RPS26	acinar cell	15.92871543381456
HLA-DRB1	leukocyte	8.417362496132444
ZFP36L1	mesenchymal cell	6.934494649579307
MEG3	beta cell	4.0304091106307265
NUPR1	mesenchymal cell	3.7143005815949444
CFTR	duct epithelial cell	3.163213840409174
CTSH	duct epithelial cell	2.8752039269964835
HLA-DRB5	leukocyte	2.3914857486353096
SMARCE1	duct epithelial cell	2.24262052841328
HLA-DQB1	leukocyte	2.1393990258939675
HLA-DQA1	leukocyte	1.9131886303325327
PSMB2	duct epithelial cell	1.8486031970046506
LMO7	duct epithelial cell	1.7579728351623667
RBM17	mesenchymal cell	1.6048815893756345
CDKN1C	beta cell	1.3895509790781893
GLIS3	duct epithelial cell	1.3463535171916665
RUNX3	leukocyte	1.29716195561651
ITGB8	duct epithelial cell	1.2915698402095932
SLC25A37	acinar cell	1.108279844087709
PTPN11	alpha cell	1.0917788840996356
NOTCH2	duct epithelial cell	0.927367129449644
FAP	mesenchymal cell	0.9003859317264157
AGO2	duct epithelial cell	0.8759456065794446
NEMF	duct epithelial cell	0.8184919554105647
NRP1	duct epithelial cell	0.7245488176416555
SH2B3	leukocyte	0.7237061878078569
PGM1	acinar cell	0.7086261008726904
IL6R	leukocyte	0.6661101812014795
PLPP1	endothelial cell	0.6597744236029913
SLC15A3	leukocyte	0.6560934949697358
HIPK1	beta cell	0.644044969327954
CAMSAP2	mesenchymal cell	0.6196933256780267
IGF2BP2	duct epithelial cell	0.6153275598200644
TOX	epsilon cell	0.6071428506045925
COBL	duct epithelial cell	0.6006427820592345
SPRYD3	beta cell	0.5793442391105758
CCR7	leukocyte	0.5367278831829013
WFS1	alpha cell	0.5168245906834448
PTPN2	duct epithelial cell	0.5116934505955987
TCF7L2	duct epithelial cell	0.5013597064112556
ATXN2	epsilon cell	0.48469388317696904
ITPR3	duct epithelial cell	0.4802472144696857
FADS1	mesenchymal cell	0.47387084958015396
PFKL	duct epithelial cell	0.41344870748567053
KCNQ1	duct epithelial cell	0.4123609536348374
IKZF1	leukocyte	0.3981635987708883
RPAP2	epsilon cell	0.3775510244375589
ASCL2	beta cell	0.3756367935190408
CLN3	duct epithelial cell	0.36677380053752434
FARP2	duct epithelial cell	0.3380964182893779
STK39	duct epithelial cell	0.3339431479039092
JAZF1	beta cell	0.3146390238082768
GTF3C5	duct epithelial cell	0.3128306578808868
RGMA	duct epithelial cell	0.2735228720141577
ITGB1-DT	duct epithelial cell	0.2642768790997445
IL10	leukocyte	0.26043405259441654
CAPSL	delta cell	0.25260187383996763
NR4A3	leukocyte	0.24373956094301602
GRB10	duct epithelial cell	0.2412360962949076
BACH2	duct epithelial cell	0.21690976666431638
FTO	mesenchymal cell	0.21195368818014695
FADS2	alpha cell	0.20349239192037644
PRR15L	duct epithelial cell	0.19520395662603332
RPS6KA4	duct epithelial cell	0.1919406642253673
MAP3K14	duct epithelial cell	0.17918418164011574
EMSY	duct epithelial cell	0.17473424554313216
SKAP2	mesenchymal cell	0.17033483128583976
INPP5B	epsilon cell	0.16836734182600463
MAGI3	duct epithelial cell	0.16657601779338307
CENPW	mesenchymal cell	0.16178158055390582
IFIH1	duct epithelial cell	0.1534239808413832
SLC16A11	epsilon cell	0.14285714388349835
SLC1A2	acinar cell	0.14046794686787176
MAPT	beta cell	0.13994928227993414
CCRL2	leukocyte	0.13606009877384803
LRIG2	epsilon cell	0.12755101892564977
TTC33	duct epithelial cell	0.1267737971211246
AFF3	epsilon cell	0.12244897860349441
RASGRP1	duct epithelial cell	0.12123609311280056
APOBR	leukocyte	0.1210350572117581
TYK2	leukocyte	0.11519198681232527
MNDA	leukocyte	0.11519198666928407
STAT4	epsilon cell	0.11224489459501845
FLI1	endothelial cell	0.10902255717270275
CLEC16A	duct epithelial cell	0.10175525367923072
PALD1	leukocyte	0.09933221750645486
C1QTNF6	mesenchymal cell	0.0937728176591505
GAB3	leukocyte	0.09181969702393065
IL7R	leukocyte	0.08764607596128732
FKRP	epsilon cell	0.08163265256705332
TAGAP	leukocyte	0.08096828121996683
FUT2	acinar cell	0.0806635959152735
EFR3B	PP cell	0.07504424755947779
DGKQ	duct epithelial cell	0.07421507946235141
CD69	leukocyte	0.07095158710540933
IGF2	duct epithelial cell	0.06541409078732188
CAMK4	mesenchymal cell	0.061437362376991024
NYAP2	epsilon cell	0.06122448992896445
ACAP1	beta cell	0.060077650851705654
LHFPL5	acinar cell	0.05703096102601808
RNLS	duct epithelial cell	0.04533992508359539
RMI2	duct epithelial cell	0.04341161925285797
IL2RA	leukocyte	0.041736226920691476
CDKN2B-AS1	epsilon cell	0.040816326359553
BATF3	mesenchymal cell	0.03953269998407642
LINC00574	epsilon cell	0.03571428495402239
IRF4	leukocyte	0.033388981822635576
LINC01550	duct epithelial cell	0.021854140884501973
CD226	leukocyte	0.021702838230579592
PTPN22	leukocyte	0.020868113985866656
UMOD	acinar cell	0.01635459034279478
AIRE	epsilon cell	0.015306122163880845
LINC02362	leukocyte	0.015025041903367575
GSDMB	acinar cell	0.014993108409721869
KLF3-AS1	duct epithelial cell	0.014437577091249532
CLEC10A	leukocyte	0.014190317669538205
LINC02009	delta cell	0.01358264296031893
LRP1B	PP cell	0.01274336289218833
CD6	delta cell	0.011995061054269849
KLRG1	leukocyte	0.011686143882025362
IGF2-AS	delta cell	0.010231081118784525
AP4B1-AS1	epsilon cell	0.010204081471097104
RAD51B	mesenchymal cell	0.008761865176129133
ACOXL	endothelial cell	0.007518797270827612
LINC02757	mesenchymal cell	0.006675706793676238
LINC02649	leukocyte	0.00584307200164971
IL27	leukocyte	0.005843071878432158
GATA3	endothelial cell	0.005468215923632227
LINC02341	duct epithelial cell	0.004351050686378985
CTLA4	leukocyte	0.0033388981960623685
COLEC10	duct epithelial cell	0.002867737900643012
NAMA	mesenchymal cell	0.002712005874393849
LINC02773	leukocyte	0.002504173579947628
MIR3681HG	mesenchymal cell	0.0019818504150398097
ICOS	unknown	0.001222992238167454
ANKRD55	PP cell	0.0010619469359517098
HORMAD2	PP cell	0.001061946907599943
LINC02516	mesenchymal cell	0.0010430791593813256
LINC01179	leukocyte	0.0008347245541172652
LINC01259	leukocyte	0.0008347245541172652
FASLG	leukocyte	0.0008347245541172652
UBASH3A	leukocyte	0.0008347245541172652
SIRPG	leukocyte	0.0008347245471206849
KCNQ1DN	endothelial cell	0.0006835270031757643
LINC00320	PP cell	0.0003539823145663316
LINC02357	unknown	0.00013588802828052934
